        soln	      dist_x	      dist_z	       Ti_fr	       Tf_fr	       Tm_fr	        Days	
           0	           0	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
           1	       0.004	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           2	       0.012	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           3	        0.02	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           4	       0.028	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           5	       0.036	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           6	       0.044	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           7	       0.052	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           8	        0.06	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
           9	       0.068	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          10	       0.076	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          11	       0.084	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          12	       0.092	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          13	         0.1	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          14	       0.108	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          15	       0.116	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          16	       0.124	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          17	       0.132	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          18	        0.14	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          19	       0.148	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          20	       0.156	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          21	       0.164	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          22	       0.172	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          23	        0.18	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          24	       0.188	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          25	       0.196	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          26	       0.204	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          27	       0.212	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          28	        0.22	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          29	       0.228	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          30	       0.236	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          31	       0.244	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          32	       0.252	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          33	        0.26	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          34	       0.268	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          35	       0.276	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          36	       0.284	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          37	       0.292	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          38	         0.3	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          39	       0.308	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          40	       0.316	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          41	       0.324	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
          42	       0.332	 0.0000e+000	 0.0000e+000	 1.0000e+000	 0.0000e+000	 0.0000e+000	
