
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.760
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
  100.0                          0.010       0.000  0.71311      1.00000
  100.0                          0.040       0.000  0.18375      1.00000
  100.0                          0.080       0.000  0.01245      1.00000
  100.0                          0.120       0.000  0.00028      1.00000
  100.0                          0.160       0.000  0.00000      1.00000
  100.0                          0.200       0.000  0.00000      1.00000
  100.0                          0.240       0.000  0.00000      1.00000
  100.0                          0.280       0.000  0.00000      1.00000
  100.0                          0.320       0.000  0.00000      1.00000
  100.0                          0.360       0.000  0.00000      1.00000
  100.0                          0.400       0.000  0.00000      1.00000
  100.0                          0.440       0.000  0.00000      1.00000
  100.0                          0.480       0.000  0.00000      1.00000
  100.0                          0.520       0.000  0.00000      1.00000
  100.0                          0.560       0.000  0.00000      1.00000
  100.0                          0.600       0.000  0.00000      1.00000
  100.0                          0.640       0.000  0.00000      1.00000
  100.0                          0.680       0.000  0.00000      1.00000
  100.0                          0.720       0.000  0.00000      1.00000
  100.0                          0.760       0.000  0.00000      1.00000
  100.0                          0.800       0.000  0.00000      1.00000
 2.1600E+04                      0.010       0.000  0.94302      1.00000
 2.1600E+04                      0.040       0.000  0.78724      1.00000
 2.1600E+04                      0.080       0.000  0.61243      1.00000
 2.1600E+04                      0.120       0.000  0.47101      1.00000
 2.1600E+04                      0.160       0.000  0.35823      1.00000
 2.1600E+04                      0.200       0.000  0.26953      1.00000
 2.1600E+04                      0.240       0.000  0.20067      1.00000
 2.1600E+04                      0.280       0.000  0.14789      1.00000
 2.1600E+04                      0.320       0.000  0.10790      1.00000
 2.1600E+04                      0.360       0.000  0.07796      1.00000
 2.1600E+04                      0.400       0.000  0.05579      1.00000
 2.1600E+04                      0.440       0.000  0.03955      1.00000
 2.1600E+04                      0.480       0.000  0.02778      1.00000
 2.1600E+04                      0.520       0.000  0.01934      1.00000
 2.1600E+04                      0.560       0.000  0.01334      1.00000
 2.1600E+04                      0.600       0.000  0.00912      1.00000
 2.1600E+04                      0.640       0.000  0.00619      1.00000
 2.1600E+04                      0.680       0.000  0.00416      1.00000
 2.1600E+04                      0.720       0.000  0.00277      1.00000
 2.1600E+04                      0.760       0.000  0.00183      1.00000
 2.1600E+04                      0.800       0.000  0.00120      1.00000
 4.3200E+04                      0.010       0.000  0.95313      1.00000
 4.3200E+04                      0.040       0.000  0.82281      1.00000
 4.3200E+04                      0.080       0.000  0.67171      1.00000
 4.3200E+04                      0.120       0.000  0.54420      1.00000
 4.3200E+04                      0.160       0.000  0.43766      1.00000
 4.3200E+04                      0.200       0.000  0.34947      1.00000
 4.3200E+04                      0.240       0.000  0.27711      1.00000
 4.3200E+04                      0.280       0.000  0.21824      1.00000
 4.3200E+04                      0.320       0.000  0.17075      1.00000
 4.3200E+04                      0.360       0.000  0.13273      1.00000
 4.3200E+04                      0.400       0.000  0.10253      1.00000
 4.3200E+04                      0.440       0.000  0.07871      1.00000
 4.3200E+04                      0.480       0.000  0.06005      1.00000
 4.3200E+04                      0.520       0.000  0.04555      1.00000
 4.3200E+04                      0.560       0.000  0.03435      1.00000
 4.3200E+04                      0.600       0.000  0.02575      1.00000
 4.3200E+04                      0.640       0.000  0.01920      1.00000
 4.3200E+04                      0.680       0.000  0.01424      1.00000
 4.3200E+04                      0.720       0.000  0.01050      1.00000
 4.3200E+04                      0.760       0.000  0.00770      1.00000
 4.3200E+04                      0.800       0.000  0.00562      1.00000
 6.4800E+04                      0.010       0.000  0.95823      1.00000
 6.4800E+04                      0.040       0.000  0.84111      1.00000
 6.4800E+04                      0.080       0.000  0.70307      1.00000
 6.4800E+04                      0.120       0.000  0.58415      1.00000
 6.4800E+04                      0.160       0.000  0.48251      1.00000
 6.4800E+04                      0.200       0.000  0.39630      1.00000
 6.4800E+04                      0.240       0.000  0.32369      1.00000
 6.4800E+04                      0.280       0.000  0.26296      1.00000
 6.4800E+04                      0.320       0.000  0.21250      1.00000
 6.4800E+04                      0.360       0.000  0.17084      1.00000
 6.4800E+04                      0.400       0.000  0.13666      1.00000
 6.4800E+04                      0.440       0.000  0.10878      1.00000
