
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  8.68056E-06
  Fracture dispersivity=      0.000
  Fracture aperture=  1.2000E-04
  Fracture spacing=      0.100
  Matrix porosity=      0.350
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  1.0000E-12
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  15


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
  100.0                          0.010       0.000  0.00000      1.00000
  100.0                          0.040       0.000  0.00000      1.00000
  100.0                          0.080       0.000  0.00000      1.00000
  100.0                          0.120       0.000  0.00000      1.00000
  100.0                          0.160       0.000  0.00000      1.00000
  100.0                          0.200       0.000  0.00000      1.00000
  100.0                          0.240       0.000  0.00000      1.00000
  100.0                          0.280       0.000  0.00000      1.00000
  100.0                          0.320       0.000  0.00000      1.00000
  100.0                          0.360       0.000  0.00000      1.00000
  100.0                          0.400       0.000  0.00000      1.00000
  100.0                          0.440       0.000  0.00000      1.00000
  100.0                          0.480       0.000  0.00000      1.00000
  100.0                          0.520       0.000  0.00000      1.00000
  100.0                          0.560       0.000  0.00000      1.00000
  100.0                          0.600       0.000  0.00000      1.00000
  100.0                          0.640       0.000  0.00000      1.00000
  100.0                          0.680       0.000  0.00000      1.00000
  100.0                          0.720       0.000  0.00000      1.00000
  100.0                          0.760       0.000  0.00000      1.00000
  100.0                          0.800       0.000  0.00000      1.00000
 2.1600E+04                      0.010       0.000  0.97349      1.00000
 2.1600E+04                      0.040       0.000  0.88407      1.00000
 2.1600E+04                      0.080       0.000  0.73266      1.00000
 2.1600E+04                      0.120       0.000  0.51787      1.00000
 2.1600E+04                      0.160       0.000  0.16118      1.00000
 2.1600E+04                      0.200       0.000 -0.00008      1.00000
 2.1600E+04                      0.240       0.000  0.00000      1.00000
 2.1600E+04                      0.280       0.000  0.00000      1.00000
 2.1600E+04                      0.320       0.000  0.00000      1.00000
 2.1600E+04                      0.360       0.000  0.00000      1.00000
 2.1600E+04                      0.400       0.000  0.00000      1.00000
 2.1600E+04                      0.440       0.000  0.00000      1.00000
 2.1600E+04                      0.480       0.000  0.00000      1.00000
 2.1600E+04                      0.520       0.000  0.00000      1.00000
 2.1600E+04                      0.560       0.000  0.00000      1.00000
 2.1600E+04                      0.600       0.000  0.00000      1.00000
