
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=    227.350
  Fracture dispersivity=      4.000
  Fracture aperture= 0.1000E+00
  Fracture spacing=      2.000
  Matrix porosity=      0.300
  Matrix tortuosity=      0.100
  Diff. coeff. in water= 0.1737E+01
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=   0.1000E-05
  N=  20


  Variable source concentration

    Time       Concentration
    0.00000        1.00000
    3.00000        0.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
    0.050                       45.720       0.050  0.00004      1.00000
    0.100                       45.720       0.050  0.01222      1.00000
    0.150                       45.720       0.050  0.07063      1.00000
    0.200                       45.720       0.050  0.15830      1.00000
    0.250                       45.720       0.050  0.24674      1.00000
    0.300                       45.720       0.050  0.32390      1.00000
    0.350                       45.720       0.050  0.38782      1.00000
    0.400                       45.720       0.050  0.44004      1.00000
    0.450                       45.720       0.050  0.48282      1.00000
    0.500                       45.720       0.050  0.51822      1.00000
    0.550                       45.720       0.050  0.54787      1.00000
    0.600                       45.720       0.050  0.57303      1.00000
    0.650                       45.720       0.050  0.59464      1.00000
    0.700                       45.720       0.050  0.61342      1.00000
    0.750                       45.720       0.050  0.62990      1.00000
    0.800                       45.720       0.050  0.64451      1.00000
    0.850                       45.720       0.050  0.65757      1.00000
    0.900                       45.720       0.050  0.66933      1.00000
    0.950                       45.720       0.050  0.68001      1.00000
    1.000                       45.720       0.050  0.68976      1.00000
    1.050                       45.720       0.050  0.69873      1.00000
    1.100                       45.720       0.050  0.70702      1.00000
    1.150                       45.720       0.050  0.71473      1.00000
    1.200                       45.720       0.050  0.72193      1.00000
    1.250                       45.720       0.050  0.72870      1.00000
    1.300                       45.720       0.050  0.73509      1.00000
    1.350                       45.720       0.050  0.74113      1.00000
    1.400                       45.720       0.050  0.74688      1.00000
    1.450                       45.720       0.050  0.75237      1.00000
    1.500                       45.720       0.050  0.75763      1.00000
    1.550                       45.720       0.050  0.76267      1.00000
    1.600                       45.720       0.050  0.76753      1.00000
    1.650                       45.720       0.050  0.77222      1.00000
    1.700                       45.720       0.050  0.77675      1.00000
    1.750                       45.720       0.050  0.78114      1.00000
    1.800                       45.720       0.050  0.78540      1.00000
    1.850                       45.720       0.050  0.78955      1.00000
    1.900                       45.720       0.050  0.79358      1.00000
    1.950                       45.720       0.050  0.79751      1.00000
    2.000                       45.720       0.050  0.80135      1.00000
    2.050                       45.720       0.050  0.80509      1.00000
    2.100                       45.720       0.050  0.80874      1.00000
    2.150                       45.720       0.050  0.81232      1.00000
    2.200                       45.720       0.050  0.81582      1.00000
    2.250                       45.720       0.050  0.81924      1.00000
    2.300                       45.720       0.050  0.82259      1.00000
    2.350                       45.720       0.050  0.82588      1.00000
    2.400                       45.720       0.050  0.82910      1.00000
    2.450                       45.720       0.050  0.83225      1.00000
    2.500                       45.720       0.050  0.83534      1.00000
    2.550                       45.720       0.050  0.83838      1.00000
    2.600                       45.720       0.050  0.84135      1.00000
    2.650                       45.720       0.050  0.84427      1.00000
    2.700                       45.720       0.050  0.84713      1.00000
    2.750                       45.720       0.050  0.84994      1.00000
    2.800                       45.720       0.050  0.85270      1.00000
    2.850                       45.720       0.050  0.85540      1.00000
    2.900                       45.720       0.050  0.85806      1.00000
    2.950                       45.720       0.050  0.86065      1.00000
    3.000                       45.720       0.050  0.86328      1.00000
    3.050                       45.720       0.050  0.86572      1.00000
    3.100                       45.720       0.050  0.85604      1.00000
    3.150                       45.720       0.050  0.80010      1.00000
    3.200                       45.720       0.050  0.71470      1.00000
    3.250                       45.720       0.050  0.62886      1.00000
    3.300                       45.720       0.050  0.55365      1.00000
    3.350                       45.720       0.050  0.49210      1.00000
    3.400                       45.720       0.050  0.44204      1.00000
    3.450                       45.720       0.050  0.40141      1.00000
    3.500                       45.720       0.050  0.36815      1.00000
    3.550                       45.720       0.050  0.34059      1.00000
    3.600                       45.720       0.050  0.31749      1.00000
    3.650                       45.720       0.050  0.29789      1.00000
    3.700                       45.720       0.050  0.28109      1.00000
    3.750                       45.720       0.050  0.26655      1.00000
    3.800                       45.720       0.050  0.25385      1.00000
    3.850                       45.720       0.050  0.24266      1.00000
    3.900                       45.720       0.050  0.23273      1.00000
    3.950                       45.720       0.050  0.22386      1.00000
    4.000                       45.720       0.050  0.21588      1.00000
    4.050                       45.720       0.050  0.20865      1.00000
    4.100                       45.720       0.050  0.20207      1.00000
    4.150                       45.720       0.050  0.19603      1.00000
    4.200                       45.720       0.050  0.19047      1.00000
    4.250                       45.720       0.050  0.18532      1.00000
    4.300                       45.720       0.050  0.18052      1.00000
    4.350                       45.720       0.050  0.17603      1.00000
    4.400                       45.720       0.050  0.17181      1.00000
    4.450                       45.720       0.050  0.16782      1.00000
    4.500                       45.720       0.050  0.16404      1.00000
    4.550                       45.720       0.050  0.16044      1.00000
    4.600                       45.720       0.050  0.15701      1.00000
    4.650                       45.720       0.050  0.15371      1.00000
    4.700                       45.720       0.050  0.15055      1.00000
    4.750                       45.720       0.050  0.14750      1.00000
    4.800                       45.720       0.050  0.14456      1.00000
    4.850                       45.720       0.050  0.14171      1.00000
    4.900                       45.720       0.050  0.13895      1.00000
    4.950                       45.720       0.050  0.13626      1.00000
    5.000                       45.720       0.050  0.13366      1.00000
    5.050                       45.720       0.050  0.13112      1.00000
    5.100                       45.720       0.050  0.12864      1.00000
    5.150                       45.720       0.050  0.12623      1.00000
    5.200                       45.720       0.050  0.12387      1.00000
    5.250                       45.720       0.050  0.12156      1.00000
    5.300                       45.720       0.050  0.11930      1.00000
    5.350                       45.720       0.050  0.11710      1.00000
    5.400                       45.720       0.050  0.11494      1.00000
    5.450                       45.720       0.050  0.11282      1.00000
    5.500                       45.720       0.050  0.11075      1.00000
    5.550                       45.720       0.050  0.10871      1.00000
    5.600                       45.720       0.050  0.10672      1.00000
    5.650                       45.720       0.050  0.10477      1.00000
    5.700                       45.720       0.050  0.10285      1.00000
    5.750                       45.720       0.050  0.10097      1.00000
    5.800                       45.720       0.050  0.09912      1.00000
    5.850                       45.720       0.050  0.09731      1.00000
    5.900                       45.720       0.050  0.09553      1.00000
    5.950                       45.720       0.050  0.09379      1.00000
    6.000                       45.720       0.050  0.09208      1.00000
    6.050                       45.720       0.050  0.09040      1.00000
    6.100                       45.720       0.050  0.08875      1.00000
    6.150                       45.720       0.050  0.08713      1.00000
    6.200                       45.720       0.050  0.08554      1.00000
    6.250                       45.720       0.050  0.08398      1.00000
    6.300                       45.720       0.050  0.08244      1.00000
    6.350                       45.720       0.050  0.08094      1.00000
    6.400                       45.720       0.050  0.07946      1.00000
    6.450                       45.720       0.050  0.07801      1.00000
    6.500                       45.720       0.050  0.07658      1.00000
    6.550                       45.720       0.050  0.07518      1.00000
    6.600                       45.720       0.050  0.07381      1.00000
    6.650                       45.720       0.050  0.07246      1.00000
    6.700                       45.720       0.050  0.07114      1.00000
    6.750                       45.720       0.050  0.06984      1.00000
    6.800                       45.720       0.050  0.06856      1.00000
    6.850                       45.720       0.050  0.06730      1.00000
    6.900                       45.720       0.050  0.06607      1.00000
    6.950                       45.720       0.050  0.06486      1.00000
    7.000                       45.720       0.050  0.06368      1.00000
    7.050                       45.720       0.050  0.06251      1.00000
    7.100                       45.720       0.050  0.06136      1.00000
    7.150                       45.720       0.050  0.06024      1.00000
    7.200                       45.720       0.050  0.05914      1.00000
    7.250                       45.720       0.050  0.05805      1.00000
    7.300                       45.720       0.050  0.05699      1.00000
    7.350                       45.720       0.050  0.05594      1.00000
    7.400                       45.720       0.050  0.05492      1.00000
