
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     1.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  1.74000E-05
  Fracture dispersivity=      0.008
  Fracture aperture=  4.0000E-04
  Fracture spacing=      0.500
  Matrix porosity=      0.200
  Matrix tortuosity=      1.000
  Diff. coeff. in water=  4.4000E-10
  Fracture retardation factor=      1.000
  Matrix retardation factor=      1.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  18


  Variable source concentration

     Time       Concentration
  0.000            1.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
 8.6400E+06                      0.010       0.000  0.99769      1.00000
 8.6400E+06                      0.010       0.001  0.99037      1.00000
 8.6400E+06                      0.010       0.025  0.77387      1.00000
 8.6400E+06                      0.010       0.050  0.56594      1.00000
 8.6400E+06                      0.010       0.075  0.38937      1.00000
 8.6400E+06                      0.010       0.100  0.25119      1.00000
 8.6400E+06                      0.010       0.125  0.15154      1.00000
 8.6400E+06                      0.010       0.150  0.08533      1.00000
 8.6400E+06                      0.010       0.175  0.04488      1.00000
 8.6400E+06                      0.010       0.200  0.02235      1.00000
 8.6400E+06                      0.010       0.250  0.00827      1.00000
 8.6400E+06                      0.250       0.000  0.94216      1.00000
 8.6400E+06                      0.250       0.001  0.93486      1.00000
 8.6400E+06                      0.250       0.025  0.72098      1.00000
 8.6400E+06                      0.250       0.050  0.51954      1.00000
 8.6400E+06                      0.250       0.075  0.35188      1.00000
 8.6400E+06                      0.250       0.100  0.22328      1.00000
 8.6400E+06                      0.250       0.125  0.13240      1.00000
 8.6400E+06                      0.250       0.150  0.07323      1.00000
 8.6400E+06                      0.250       0.175  0.03780      1.00000
 8.6400E+06                      0.250       0.200  0.01845      1.00000
 8.6400E+06                      0.250       0.250  0.00658      1.00000
 8.6400E+06                      0.500       0.000  0.88455      1.00000
 8.6400E+06                      0.500       0.001  0.87730      1.00000
 8.6400E+06                      0.500       0.025  0.66720      1.00000
 8.6400E+06                      0.500       0.050  0.47332      1.00000
 8.6400E+06                      0.500       0.075  0.31530      1.00000
 8.6400E+06                      0.500       0.100  0.19662      1.00000
 8.6400E+06                      0.500       0.125  0.11450      1.00000
 8.6400E+06                      0.500       0.150  0.06215      1.00000
 8.6400E+06                      0.500       0.175  0.03146      1.00000
 8.6400E+06                      0.500       0.200  0.01504      1.00000
 8.6400E+06                      0.500       0.250  0.00516      1.00000
 8.6400E+06                      0.750       0.000  0.82747      1.00000
 8.6400E+06                      0.750       0.001  0.82032      1.00000
 8.6400E+06                      0.750       0.025  0.61502      1.00000
 8.6400E+06                      0.750       0.050  0.42941      1.00000
 8.6400E+06                      0.750       0.075  0.28127      1.00000
 8.6400E+06                      0.750       0.100  0.17233      1.00000
 8.6400E+06                      0.750       0.125  0.09854      1.00000
 8.6400E+06                      0.750       0.150  0.05249      1.00000
 8.6400E+06                      0.750       0.175  0.02605      1.00000
 8.6400E+06                      0.750       0.200  0.01219      1.00000
 8.6400E+06                      0.750       0.250  0.00403      1.00000
 8.6400E+06                      1.000       0.000  0.77121      1.00000
 8.6400E+06                      1.000       0.001  0.76419      1.00000
 8.6400E+06                      1.000       0.025  0.56464      1.00000
 8.6400E+06                      1.000       0.050  0.38790      1.00000
 8.6400E+06                      1.000       0.075  0.24978      1.00000
 8.6400E+06                      1.000       0.100  0.15034      1.00000
 8.6400E+06                      1.000       0.125  0.08439      1.00000
 8.6400E+06                      1.000       0.150  0.04410      1.00000
 8.6400E+06                      1.000       0.175  0.02146      1.00000
 8.6400E+06                      1.000       0.200  0.00983      1.00000
 8.6400E+06                      1.000       0.250  0.00312      1.00000
 8.6400E+06                      1.250       0.000  0.71606      1.00000
 8.6400E+06                      1.250       0.001  0.70920      1.00000
 8.6400E+06                      1.250       0.025  0.51628      1.00000
 8.6400E+06                      1.250       0.050  0.34889      1.00000
 8.6400E+06                      1.250       0.075  0.22080      1.00000
