
                    ************************************************
                    *                Model: CRAFLUSH               *
                    *           Parallel Crack Model D > 0         *
                    *            (C) E.A. Sudicky, 1988            *
                    *   Waterloo Centre for Groundwater Research   *
                    *            University of Waterloo            *
                    *       Waterloo, Ontario, CANADA N2L 3G1      *
                    ************************************************


  Source concentration at infinite time=     0.0000
  Initial concentration in matrix and fractures=     0.0000
  Velocity in fracture=  3.16887E-06
  Fracture dispersivity=      0.500
  Fracture aperture=  1.0000E-04
  Fracture spacing=      0.500
  Matrix porosity=      0.100
  Matrix tortuosity=      0.100
  Diff. coeff. in water=  1.0000E-09
  Fracture retardation factor=      1.000
  Matrix retardation factor=      2.000
  Non-decaying solute


  Numerical inversion parameters used in CRUMP

  ALPHR=  0.000
  RELERR=  1.0000E-06
  N=  18


  Variable source concentration

     Time       Concentration
  0.000            1.00000
 1.5778E+09        0.00000


    Time      Distance: along Fracture,  in Matrix     C(t)     Steady C
    ----      --------- --------------   ---------     ----     --------
  10.00                          1.000       0.000  0.00000      0.00000
  10.00                          2.000       0.000  0.00000      0.00000
  10.00                          4.000       0.000  0.00000      0.00000
  10.00                          6.000       0.000  0.00000      0.00000
  10.00                          8.000       0.000  0.00000      0.00000
  10.00                         10.000       0.000  0.00000      0.00000
  10.00                         12.000       0.000  0.00000      0.00000
  10.00                         14.000       0.000  0.00000      0.00000
  10.00                         16.000       0.000  0.00000      0.00000
  10.00                         18.000       0.000  0.00000      0.00000
  10.00                         20.000       0.000  0.00000      0.00000
  10.00                         22.000       0.000  0.00000      0.00000
  10.00                         24.000       0.000  0.00000      0.00000
  10.00                         26.000       0.000  0.00000      0.00000
  10.00                         28.000       0.000  0.00000      0.00000
  10.00                         30.000       0.000  0.00000      0.00000
  10.00                         32.000       0.000  0.00000      0.00000
  10.00                         34.000       0.000  0.00000      0.00000
  10.00                         36.000       0.000  0.00000      0.00000
  10.00                         38.000       0.000  0.00000      0.00000
  10.00                         40.000       0.000  0.00000      0.00000
 1.5750E+09                      1.000       0.000  0.95693      0.00000
 1.5750E+09                      2.000       0.000  0.88193      0.00000
 1.5750E+09                      4.000       0.000  0.69826      0.00000
 1.5750E+09                      6.000       0.000  0.50628      0.00000
 1.5750E+09                      8.000       0.000  0.33940      0.00000
 1.5750E+09                     10.000       0.000  0.21237      0.00000
 1.5750E+09                     12.000       0.000  0.12496      0.00000
 1.5750E+09                     14.000       0.000  0.06954      0.00000
 1.5750E+09                     16.000       0.000  0.03677      0.00000
 1.5750E+09                     18.000       0.000  0.01854      0.00000
 1.5750E+09                     20.000       0.000  0.00894      0.00000
 1.5750E+09                     22.000       0.000  0.00413      0.00000
 1.5750E+09                     24.000       0.000  0.00184      0.00000
 1.5750E+09                     26.000       0.000  0.00078      0.00000
 1.5750E+09                     28.000       0.000  0.00032      0.00000
 1.5750E+09                     30.000       0.000  0.00013      0.00000
 1.5750E+09                     32.000       0.000  0.00005      0.00000
 1.5750E+09                     34.000       0.000  0.00002      0.00000
 1.5750E+09                     36.000       0.000  0.00001      0.00000
 1.5750E+09                     38.000       0.000  0.00000      0.00000
 1.5750E+09                     40.000       0.000  0.00000      0.00000
 3.1557E+09                      1.000       0.000  0.04190      0.00000
 3.1557E+09                      2.000       0.000  0.09819      0.00000
 3.1557E+09                      4.000       0.000  0.22240      0.00000
 3.1557E+09                      6.000       0.000  0.31976      0.00000
 3.1557E+09                      8.000       0.000  0.36469      0.00000
 3.1557E+09                     10.000       0.000  0.35791      0.00000
 3.1557E+09                     12.000       0.000  0.31485      0.00000
 3.1557E+09                     14.000       0.000  0.25432      0.00000
 3.1557E+09                     16.000       0.000  0.19161      0.00000
 3.1557E+09                     18.000       0.000  0.13612      0.00000
 3.1557E+09                     20.000       0.000  0.09191      0.00000
 3.1557E+09                     22.000       0.000  0.05933      0.00000
 3.1557E+09                     24.000       0.000  0.03679      0.00000
 3.1557E+09                     26.000       0.000  0.02200      0.00000
 3.1557E+09                     28.000       0.000  0.01272      0.00000
 3.1557E+09                     30.000       0.000  0.00713      0.00000
 3.1557E+09                     32.000       0.000  0.00388      0.00000
 3.1557E+09                     34.000       0.000  0.00205      0.00000
 3.1557E+09                     36.000       0.000  0.00106      0.00000
 3.1557E+09                     38.000       0.000  0.00053      0.00000
 3.1557E+09                     40.000       0.000  0.00026      0.00000
 4.7335E+09                      1.000       0.000  0.00583      0.00000
 4.7335E+09                      2.000       0.000  0.01760      0.00000
 4.7335E+09                      4.000       0.000  0.06012      0.00000
 4.7335E+09                      6.000       0.000  0.12185      0.00000
